board_size,board_number,runtime,dig_density
10 x 10,0,0.045,0.49
10 x 10,1,0.033,0.37
10 x 10,2,0.05,0.6
10 x 10,3,0.046,0.5
10 x 10,4,0.028,0.41
10 x 20,0,0.164,0.56
10 x 20,1,0.16,0.485
10 x 20,2,0.184,0.6
10 x 20,3,0.173,0.53
10 x 20,4,0.196,0.72
15 x 20,0,0.323,0.44
15 x 20,1,0.455,0.6533333333333333
15 x 20,2,0.324,0.3933333333333333
15 x 20,3,0.35,0.4666666666666667
15 x 20,4,0.392,0.5466666666666666
20 x 20,0,0.826,0.6925
20 x 20,1,0.776,0.565
20 x 20,2,0.904,0.635
20 x 20,3,0.831,0.6275
20 x 20,4,0.669,0.52
20 x 25,0,1.332,0.72
20 x 25,1,1.282,0.612
20 x 25,2,1.208,0.574
20 x 25,3,1.334,0.702
20 x 25,4,1.55,0.736
20 x 30,0,1.907,0.6433333333333333
20 x 30,1,1.831,0.5766666666666667
20 x 30,2,1.844,0.5716666666666667
20 x 30,3,1.894,0.62
20 x 30,4,2.201,0.7716666666666666
20 x 35,0,2.739,0.6485714285714286
20 x 35,1,2.342,0.5114285714285715
20 x 35,2,2.581,0.5985714285714285
20 x 35,3,2.482,0.5385714285714286
20 x 35,4,3.061,0.7657142857142857
25 x 32,0,3.436,0.575
25 x 32,1,3.808,0.67
25 x 32,2,3.333,0.55625
25 x 32,3,3.721,0.67375
25 x 32,4,4.102,0.7875
25 x 40,0,6.128,0.697
25 x 40,1,5.729,0.568
25 x 40,2,5.873,0.567
25 x 40,3,6.542,0.729
25 x 40,4,5.496,0.562
30 x 30,0,5.128,0.71
30 x 30,1,4.612,0.6477777777777778
30 x 30,2,4.962,0.6388888888888888
30 x 30,3,4.238,0.5255555555555556
30 x 30,4,4.706,0.5888888888888889
